,no,date,group,campaign_id,order_info,address,payment
111,B0R6009BIN,2020-09-05 11:25:53,울트라콜,2200620,탕짜면 외 1,인천 남동구 구월1동 ****,11000
110,B0R600AZQ4,2020-09-05 11:43:11,울트라콜,2200619,간짜장 외 1,인천 남동구 간석1동 ****,26500
109,B0R600B4SX,2020-09-05 11:44:34,울트라콜,2200618,2셋트(탕수육+짜장+짬뽕+콜라),인천 미추홀구 주안8동 ****,21000
108,B0R600BN1N,2020-09-05 11:46:02,울트라콜,2200628,삼선짬뽕,인천 남동구 구월1동 ****,10000
107,B0R600BSOZ,2020-09-05 11:48:35,울트라콜,2200621,볶음밥 외 1,인천 미추홀구 주안4동 ****,25000
106,B0R600BIVJ,2020-09-05 11:49:03,울트라콜,2200628,2셋트(탕수육+짜장+짬뽕+콜라),인천 남동구 구월2동 ****,21000
105,B0R600BQRA,2020-09-05 11:50:07,울트라콜,2200621,옛날고기짬뽕 외 1,인천 미추홀구 주안8동 ****,17000
104,B0R600FG7D,2020-09-05 12:22:57,울트라콜,2200628,차돌짬뽕 외 2,인천 남동구 구월1동 ****,32500
103,B0R600FWP8,2020-09-05 12:25:08,울트라콜,2200620,가 셋트(탕수육+짜장1+콜라),인천 남동구 구월1동 ****,16000
102,B0R600G8TA,2020-09-05 12:30:32,울트라콜,2200625,간짜장 외 3,인천 남동구 간석1동 ****,29500
101,B0R600H6HC,2020-09-05 12:37:44,울트라콜,2200621,삼선짬뽕,인천 미추홀구 주안8동 ****,10000
100,B0R600IKHZ,2020-09-05 12:50:05,울트라콜,2200628,옛날고기짬뽕 외 1,,27000
99,B0R600K3BU,2020-09-05 13:03:29,울트라콜,2200628,짬뽕밥 외 1,인천 남동구 구월1동 ****,15500
98,B0R600PCR1,2020-09-05 13:59:27,울트라콜,2200619,간짜장 외 2,인천 남동구 간석2동 ****,45000
97,B0R600R9MD,2020-09-05 14:19:23,울트라콜,2200631,검은콩국수 외 2,인천 남동구 구월1동 ****,28500
96,B0R600RCAN,2020-09-05 14:23:06,울트라콜,2200631,2셋트(탕수육+짜장+짬뽕+콜라),인천 남동구 구월2동 ****,20000
95,B0R600RQ10,2020-09-05 14:23:33,울트라콜,2200620,탕수육 외 1,인천 남동구 구월1동 ****,27500
94,B0R600SCFG,2020-09-05 14:32:37,울트라콜,2200625,짜장 외 2,인천 미추홀구 주안4동 ****,17000
93,B0R600SM7B,2020-09-05 14:33:07,울트라콜,2200617,나 셋트(탕수육+짬뽕1+콜라) 외 1,인천 남동구 구월1동 ****,24500
92,B0R600T3F1,2020-09-05 14:40:13,울트라콜,2200631,바 셋트(탕수육+차돌짬뽕1+콜라) 외 1,인천 남동구 구월2동 ****,27500
91,B0R600TKWR,2020-09-05 14:45:24,울트라콜,2200633,삼선간짜장 외 1,인천 남동구 구월3동 ****,10000
90,B0R600TLA4,2020-09-05 14:48:21,울트라콜,2200631,7셋트(탕수육+쟁반짜장2인+콜라),인천 남동구 구월2동 ****,24000
89,B0R600WT1Z,2020-09-05 15:30:57,울트라콜,2200634,2셋트(탕수육+짜장+짬뽕+콜라),인천 미추홀구 주안4동 ****,20000
88,B0R6012ECV,2020-09-05 16:37:31,울트라콜,2200621,탕짜면,인천 남동구 구월3동 ****,10000
87,B0R601EFRL,2020-09-05 18:02:26,울트라콜,2200625,2셋트(탕수육+짜장+짬뽕+콜라) 외 1,인천 남동구 간석1동 ****,26500
86,B0R601IELJ,2020-09-05 18:23:24,울트라콜,2200621,D 셋트(깐풍기+짜장+짬뽕) 외 1,인천 미추홀구 주안8동 ****,37500
85,B0R601IAAL,2020-09-05 18:23:52,울트라콜,2200620,짬짜면 외 2,인천 남동구 구월1동 ****,13500
84,B0R601MEGX,2020-09-05 18:46:53,울트라콜,2200631,잡탕밥,인천 남동구 구월2동 ****,12000
83,B0R601ORX0,2020-09-05 19:02:21,울트라콜,2200628,삼선짬뽕 외 1,인천 남동구 구월1동 ****,20000
82,B0R601QDM1,2020-09-05 19:10:09,울트라콜,2200633,물만두 외 2,인천 남동구 구월3동 ****,14500
81,B0R601QIQP,2020-09-05 19:14:26,울트라콜,2200635,옛날고기짬뽕 외 1,인천 미추홀구 관교동 ****,27000
80,B0R601ZFXO,2020-09-05 20:15:54,울트라콜,2200628,삼선짬뽕 외 1,인천 남동구 구월3동 ****,18000
79,B0R7004TV6,2020-09-06 09:30:17,울트라콜,2200621,불짬뽕 외 1,인천 미추홀구 주안8동 ****,14500
78,B0R7005ZB5,2020-09-06 10:21:33,울트라콜,2200619,간짜장 외 3,인천 남동구 구월1동 ****,45000
77,B0R7007PRO,2020-09-06 10:59:01,울트라콜,2200631,나 셋트(탕수육+짬뽕1+콜라) 외 2,인천 남동구 구월2동 ****,35000
76,B0R7008VJB,2020-09-06 11:08:28,울트라콜,2200628,삼선고추짬뽕 외 1,인천 남동구 구월1동 ****,19000
75,B0R700ATR4,2020-09-06 11:27:52,울트라콜,2200631,13셋트(탕수육+고기짬뽕2+콜라),인천 남동구 구월2동 ****,26000
74,B0R700BGZA,2020-09-06 11:33:57,울트라콜,2200628,6셋트(탕수육+볶음밥2+콜라),인천 남동구 구월1동 ****,24000
