,no,date,group,campaign_id,order_info,address,payment
59,B0RA0075XE,2020-09-09 11:20:31,울트라콜,3005197,양장피,경기 수원시 권선구 평동 ****,30000
58,B0RA00BA09,2020-09-09 12:09:13,울트라콜,3005196,5. 탕수육+잡채밥+만두 외 2,,24000
57,B0RA00MXIP,2020-09-09 16:02:25,울트라콜,3005196,짜장면 외 2,경기 화성시 매송면 매송면 ****,20000
56,B0RA00XM8B,2020-09-09 18:10:12,울트라콜,3005197,탕짜면,경기 수원시 권선구 평동 ****,10000
55,B0RA01CMOD,2020-09-09 20:09:07,울트라콜,3005197,1. 탕수육+짜장1+만두,경기 수원시 권선구 평동 ****,15000
54,B0RB003BLE,2020-09-10 09:23:06,울트라콜,3005197,4. 탕수육+볶음밥+만두,경기 화성시 봉담읍 봉담읍 ****,17000
53,B0RB003ZVK,2020-09-10 10:12:17,울트라콜,3005197,1. 탕수육+짜장1+만두,경기 수원시 권선구 평동 ****,16000
52,B0RB005EVW,2020-09-10 11:00:56,울트라콜,3005197,짬뽕 외 3,경기 수원시 권선구 평동 ****,26000
51,B0RB009CWQ,2020-09-10 11:48:29,울트라콜,3005197,짜장면 외 2,경기 수원시 권선구 평동 ****,20000
50,B0RB00AOJT,2020-09-10 12:03:24,울트라콜,3005197,볶음밥 외 2,경기 수원시 권선구 평동 ****,29000
49,B0RB00ERFB,2020-09-10 13:00:54,울트라콜,3005197,짜장면,경기 수원시 권선구 평동 ****,12000
48,B0RB00GGNS,2020-09-10 13:25:51,울트라콜,3005196,1. 탕수육+짜장1+만두,경기 화성시 매송면 매송면 ****,16000
47,B0RB00GANO,2020-09-10 13:27:36,울트라콜,3005197,짬뽕 외 1,경기 화성시 봉담읍 봉담읍 ****,16000
46,B0RB00JJR5,2020-09-10 14:32:59,울트라콜,3005197,제육덮밥 외 1,경기 수원시 권선구 평동 ****,28000
45,B0RB00YY8Z,2020-09-10 18:29:42,울트라콜,3005197,고추짬뽕 외 3,,57000
44,B0RB013M5O,2020-09-10 19:00:21,울트라콜,3005197,고추잡채밥 외 1,경기 수원시 권선구 평동 ****,25000
43,B0RB01420U,2020-09-10 19:04:34,울트라콜,3005197,탕짬면 외 1,경기 수원시 권선구 평동 ****,18000
