,no,date,group,campaign_id,order_info,address,payment
273,B0SK00Y94M,2020-10-25 16:33:06,울트라콜,3005197,간짜장 외 2,경기 수원시 권선구 평동 ****,37000
272,B0SK0147LQ,2020-10-25 17:27:35,울트라콜,3005197,제육덮밥 외 1,경기 수원시 권선구 평동 ****,23000
271,B0SK013XVT,2020-10-25 17:27:36,울트라콜,3005197,4. 탕수육+불타는짬뽕2+만두 외 1,경기 수원시 권선구 평동 ****,33000
270,B0SK019H4N,2020-10-25 18:03:04,울트라콜,3046829,4. 탕수육+간짜장2+만두 외 1,경기 수원시 권선구 평동 ****,30000
269,B0SL004E7M,2020-10-26 10:13:41,울트라콜,3251512,탕수육 외 1,경기 화성시 기배동 ****,30000
268,B0SL004A4A,2020-10-26 10:29:21,울트라콜,3005197,1. 탕수육+짜장2+만두,경기 수원시 권선구 평동 ****,21000
267,B0SL004QL2,2020-10-26 10:35:21,울트라콜,3046829,8. 탕수육+짜장1+볶음밥2+만두,경기 수원시 권선구 평동 ****,26000
266,B0SL00560N,2020-10-26 10:50:20,울트라콜,3005196,기스면,,36000
265,B0SL005ZAQ,2020-10-26 11:11:19,울트라콜,3005197,잡채밥 외 1,경기 수원시 권선구 평동 ****,17000
264,B0SL007KI1,2020-10-26 11:37:51,울트라콜,3046829,차돌박이짬뽕 외 1,경기 수원시 권선구 평동 ****,17000
263,B0SL007UCS,2020-10-26 11:44:09,울트라콜,3251512,삼선짬뽕밥,경기 화성시 기배동 ****,10000
262,B0SL008LEN,2020-10-26 11:57:04,울트라콜,3251512,볶음밥 외 4,경기 화성시 기배동 ****,54000
261,B0SL00AUOX,2020-10-26 12:27:56,울트라콜,3005197,삼선짬뽕밥 외 1,경기 화성시 봉담읍 봉담읍 ****,11000
260,B0SL00DAK4,2020-10-26 13:11:06,울트라콜,3005197,2. 탕수육+짬뽕1+만두,경기 화성시 봉담읍 봉담읍 ****,16000
259,B0SL00D41L,2020-10-26 13:12:34,울트라콜,3005196,탕볶밥,경기 화성시 매송면 매송면 ****,10000
258,B0SL00R8AI,2020-10-26 18:01:54,울트라콜,3046829,1. 탕수육+짜장1+만두,경기 수원시 권선구 평동 ****,15000
257,B0SL00W29I,2020-10-26 18:45:50,울트라콜,3251512,우거지갈비탕 외 1,경기 화성시 기배동 ****,22000
256,B0SL00Z8ML,2020-10-26 19:11:53,울트라콜,3005197,새우볶음밥 외 1,경기 수원시 권선구 평동 ****,18000
255,B0SL00YY78,2020-10-26 19:12:11,울트라콜,3005197,2. 탕수육+짜장1+짬뽕1+만두,경기 화성시 봉담읍 봉담읍 ****,22000
254,B0SL010VM5,2020-10-26 19:32:21,울트라콜,3251512,7번.사천탕수육+삼선짬뽕+만두,경기 수원시 권선구 평동 ****,21000
253,B0SL011XAY,2020-10-26 19:40:56,울트라콜,3251512,짜장면 외 1,경기 화성시 기배동 ****,32000
252,B0SL012JSS,2020-10-26 19:48:10,울트라콜,3005197,8. 탕수육+쟁반짜장(2人)+만두,경기 수원시 권선구 평동 ****,24000
251,B0SM0038I9,2020-10-27 09:43:27,울트라콜,3005197,6번.사천탕수육+짬짜면+만두,경기 수원시 권선구 호매실동 ****,20000
250,B0SM003Q44,2020-10-27 10:13:44,울트라콜,3005197,간짜장 외 1,경기 화성시 봉담읍 봉담읍 ****,15000
249,B0SM008TD0,2020-10-27 11:54:52,울트라콜,3005197,잡채밥 외 1,경기 수원시 권선구 호매실동 ****,15000
248,B0SM00AUR2,2020-10-27 12:25:38,울트라콜,3046829,삼선짬뽕 외 1,경기 수원시 권선구 평동 ****,10000
247,B0SM00AZT2,2020-10-27 12:31:28,울트라콜,3005197,짜장면 외 1,경기 수원시 권선구 평동 ****,20000
246,B0SM00CN8G,2020-10-27 13:01:24,울트라콜,3005197,짬뽕 외 1,경기 화성시 봉담읍 봉담읍 ****,10000
245,B0SM00F2LT,2020-10-27 13:46:52,울트라콜,3005196,짬뽕밥 외 1,경기 화성시 매송면 매송면 ****,15000
244,B0SM00I58E,2020-10-27 15:15:15,울트라콜,3005196,삼선간짜장,,10000
243,B0SM00NN8H,2020-10-27 17:18:06,울트라콜,3005197,9. 탕수육+쟁반짬뽕(2人)+만두,경기 화성시 봉담읍 봉담읍 ****,26000
242,B0SM00Q26S,2020-10-27 17:49:37,울트라콜,3005197,2. 탕수육+짜장1+짬뽕1+만두,경기 화성시 봉담읍 봉담읍 ****,21000
241,B0SM00Q58A,2020-10-27 17:50:22,울트라콜,3251512,간짜장 외 1,경기 화성시 기배동 ****,22000
240,B0SM00T3VW,2020-10-27 18:13:42,울트라콜,3005196,탕수육 외 2,경기 화성시 매송면 매송면 ****,46000
239,B0SN003A1M,2020-10-28 09:46:12,울트라콜,3005196,탕볶밥,경기 화성시 매송면 매송면 ****,10000
238,B0SN00BA91,2020-10-28 12:34:42,울트라콜,3251512,1. 탕수육+짜장1+만두,경기 화성시 기배동 ****,15000
237,B0SN00BQL9,2020-10-28 12:43:56,울트라콜,3005197,짜장면 외 1,경기 수원시 권선구 평동 ****,31000
236,B0SN00C90K,2020-10-28 12:49:52,울트라콜,3046829,기스면,경기 수원시 권선구 평동 ****,10000
235,B0SN00F58X,2020-10-28 13:52:04,울트라콜,3005197,차돌박이짬뽕,경기 수원시 권선구 평동 ****,10000
234,B0SN00L3EM,2020-10-28 16:28:47,울트라콜,3005196,삼선간짜장,경기 화성시 매송면 매송면 ****,10000
233,B0SN00P6OR,2020-10-28 17:35:54,울트라콜,3046829,4. 탕수육+볶음밥+만두,경기 수원시 권선구 평동 ****,16000
232,B0SN00Q8UK,2020-10-28 17:48:13,울트라콜,3005197,2. 탕수육+짬뽕1+만두 외 1,경기 수원시 권선구 평동 ****,23000
231,B0SN00ZA9H,2020-10-28 19:02:18,울트라콜,3251512,1. 탕수육+짜장1+만두,경기 수원시 권선구 평동 ****,16000
230,B0SN014R50,2020-10-28 19:56:39,울트라콜,3005197,탕수육,경기 수원시 권선구 평동 ****,25000
399,B0SO00GVMB,2020-10-29 14:03:10,울트라콜,3005197,2. 탕수육+짜장1+짬뽕1+만두,경기 수원시 권선구 평동 ****,21000
398,B0SO00M8YW,2020-10-29 16:28:02,울트라콜,3005197,1. 탕수육+짜장1+만두,경기 수원시 권선구 평동 ****,15000
397,B0SO00TFSD,2020-10-29 18:06:13,울트라콜,3046829,6. 탕수육+짬짜면+만두,경기 수원시 권선구 평동 ****,18000
396,B0SP003CV3,2020-10-30 09:13:16,울트라콜,3005197,짬짜면 외 1,경기 화성시 봉담읍 봉담읍 ****,28000
395,B0SP003J3F,2020-10-30 09:30:44,울트라콜,3005196,삼선간짜장 외 2,,34000
394,B0SP005G6H,2020-10-30 10:51:50,울트라콜,3251512,고추잡채밥 외 1,경기 화성시 기배동 ****,17000
393,B0SP006XCK,2020-10-30 11:21:11,울트라콜,3005197,간짜장 외 3,경기 화성시 봉담읍 봉담읍 ****,36000
392,B0SP008ORO,2020-10-30 11:46:40,울트라콜,3005197,고추짬뽕,경기 화성시 봉담읍 봉담읍 ****,10000
391,B0SP008SR9,2020-10-30 11:48:54,울트라콜,3005196,2. 탕수육+짬뽕1+만두,경기도 화성시 봉담읍 ****,17000
390,B0SP009R05,2020-10-30 12:08:37,울트라콜,3005197,6. 탕수육+짬짜면+만두,경기 화성시 봉담읍 봉담읍 ****,17000
389,B0SP00C9BF,2020-10-30 12:43:01,울트라콜,3251512,차돌박이짬뽕 외 1,경기 화성시 기배동 ****,11000
388,B0SP00EMXF,2020-10-30 13:28:31,울트라콜,3005197,7. 탕수육+짬뽕1+간짜장2+만두,경기 화성시 봉담읍 봉담읍 ****,26000
387,B0SP00GUED,2020-10-30 14:17:50,울트라콜,3251512,삼선볶음밥 외 1,경기 화성시 기배동 ****,26000
386,B0SP00HF19,2020-10-30 14:32:50,울트라콜,3005197,1. 탕수육+짜장2+만두,경기 수원시 권선구 평동 ****,21000
385,B0SP00LT56,2020-10-30 16:29:54,울트라콜,3005196,4. 탕수육+볶음밥+만두,경기 화성시 매송면 매송면 ****,17000
384,B0SP00OSZD,2020-10-30 17:18:56,울트라콜,3005197,3. 탕수육+짬뽕밥+만두,경기 수원시 권선구 평동 ****,16000
383,B0SP00QP2B,2020-10-30 17:40:09,울트라콜,3251512,굴낙짬뽕 외 1,경기 화성시 기배동 ****,34000
382,B0SP00S28M,2020-10-30 17:51:21,울트라콜,3046829,6. 탕수육+짜장2+짬뽕1+만두,경기 수원시 권선구 평동 ****,25000
381,B0SP00WYFB,2020-10-30 18:29:05,울트라콜,3005197,2. 탕수육+짜장1+짬뽕1+만두,경기 수원시 권선구 평동 ****,21000
380,B0SP00ZLKM,2020-10-30 18:47:31,울트라콜,3005197,1번. 사천탕수육+짜장1+만두,경기 수원시 권선구 평동 ****,19000
379,B0SP01665Z,2020-10-30 19:35:07,울트라콜,3251512,1번. 사천탕수육+짜장1+만두,경기 수원시 권선구 평동 ****,18000
378,B0SP017H46,2020-10-30 19:45:42,울트라콜,3005197,1. 탕수육+짜장1+만두,경기 화성시 매송면 매송면 ****,15000
377,B0SP019YNL,2020-10-30 20:08:56,울트라콜,3005197,2. 탕수육+짜장1+짬뽕1+만두,경기 수원시 권선구 평동 ****,21000
376,B0SQ0043PV,2020-10-31 09:17:06,울트라콜,3005197,짬뽕 외 1,경기 수원시 권선구 평동 ****,14000
375,B0SQ00463K,2020-10-31 09:20:38,울트라콜,3005196,고추잡채밥 외 1,경기 화성시 매송면 매송면 ****,15000
374,B0SQ00478F,2020-10-31 09:38:10,울트라콜,3005197,1. 탕수육+짜장1+만두 외 1,경기 수원시 권선구 호매실동 ****,23000
373,B0SQ004SZK,2020-10-31 09:49:23,울트라콜,3005197,2. 탕수육+짬뽕1+만두,경기 수원시 권선구 평동 ****,16000
372,B0SQ0060PC,2020-10-31 10:45:29,울트라콜,3005197,차돌박이짬뽕,경기 수원시 권선구 평동 ****,20000
371,B0SQ006B3W,2020-10-31 10:49:37,울트라콜,3005197,8번.사천탕수육+삼선불짬뽕+만두,경기 화성시 봉담읍 봉담읍 ****,22000
370,B0SQ006QH2,2020-10-31 10:58:30,울트라콜,3005196,차돌박이짬뽕 외 2,경기 화성시 매송면 매송면 ****,38000
369,B0SQ006ZDG,2020-10-31 11:04:46,울트라콜,3251512,짜장면 외 2,경기 화성시 기배동 ****,21000
368,B0SQ007D0C,2020-10-31 11:07:28,울트라콜,3005197,탕수육 외 3,경기 화성시 봉담읍 봉담읍 ****,41000
367,B0SQ0099TG,2020-10-31 11:35:27,울트라콜,3005197,6. 탕수육+짬짜면+만두,경기 화성시 봉담읍 봉담읍 ****,17000
366,B0SQ009SFA,2020-10-31 11:42:22,울트라콜,3005197,간짜장,경기 수원시 권선구 평동 ****,14000
365,B0SQ00A040,2020-10-31 11:44:06,울트라콜,3005197,1번. 사천탕수육+짜장1+만두,경기 수원시 권선구 평동 ****,18000
364,B0SQ00ARA3,2020-10-31 11:53:43,울트라콜,3046829,탕짬면 외 1,경기 수원시 권선구 평동 ****,11000
363,B0SQ00B70S,2020-10-31 11:56:49,울트라콜,3005196,삼선불짬뽕 외 5,경기 화성시 매송면 매송면 ****,61000
362,B0SQ00CDC0,2020-10-31 12:07:45,울트라콜,3005197,1. 탕수육+짜장2+만두,경기 수원시 권선구 평동 ****,20000
361,B0SQ00CVGW,2020-10-31 12:16:16,울트라콜,3005197,간짜장 외 1,경기 화성시 봉담읍 봉담읍 ****,41000
360,B0SQ00DI0O,2020-10-31 12:25:12,울트라콜,3005197,1. 탕수육+짜장1+만두,경기 화성시 봉담읍 봉담읍 ****,15000
359,B0SQ00DR4S,2020-10-31 12:26:05,울트라콜,3005197,3. 탕수육+짬뽕밥+만두,경기 수원시 권선구 평동 ****,16000
358,B0SQ00FJJD,2020-10-31 12:43:19,울트라콜,3251512,탕짜면,경기 화성시 봉담읍 봉담읍 ****,10000
357,B0SQ00J5WI,2020-10-31 13:26:29,울트라콜,3046829,1번. 사천탕수육+짜장1+만두,경기 수원시 권선구 평동 ****,18000
356,B0SQ00JBRA,2020-10-31 13:31:26,울트라콜,3005197,1. 탕수육+짜장2+만두,경기 수원시 권선구 평동 ****,20000
355,B0SQ00K0OV,2020-10-31 13:37:14,울트라콜,3005197,해물쟁반짜장,경기 화성시 봉담읍 봉담읍 ****,17000
354,B0SQ00M7UA,2020-10-31 14:18:25,울트라콜,3005197,11번.사천탕수육+짜장2+만두 외 1,경기 화성시 봉담읍 봉담읍 ****,38000
353,B0SQ00OPK1,2020-10-31 14:55:50,울트라콜,3046829,짜장면 외 1,경기 수원시 권선구 평동 ****,13000
352,B0SQ00P8AH,2020-10-31 14:58:22,울트라콜,3005197,간짜장 외 1,경기 수원시 권선구 평동 ****,14000
351,B0SQ00SASR,2020-10-31 15:57:03,울트라콜,3005197,탕짬면,경기 수원시 권선구 평동 ****,10000
350,B0SQ00T258,2020-10-31 16:13:41,울트라콜,3046829,울면 외 3,경기 수원시 권선구 서둔동 ****,57000
349,B0SQ00UEB8,2020-10-31 16:32:35,울트라콜,3005197,2. 탕수육+짜장1+짬뽕1+만두,경기 수원시 권선구 평동 ****,21000
348,B0SQ00VHDS,2020-10-31 16:52:28,울트라콜,3005197,2. 탕수육+짜장1+짬뽕1+만두,경기 수원시 권선구 평동 ****,22000
347,B0SQ00ZWX4,2020-10-31 17:33:57,울트라콜,3005197,짜장면 외 2,경기 화성시 봉담읍 봉담읍 ****,32000
346,B0SQ010FBO,2020-10-31 17:39:10,울트라콜,3005197,간짜장 외 3,경기 화성시 봉담읍 봉담읍 ****,58000
345,B0SQ015CIU,2020-10-31 18:09:45,울트라콜,3251512,삼선짬뽕,경기 화성시 기배동 ****,10000
344,B0SQ01CV99,2020-10-31 18:58:09,울트라콜,3046829,간짜장 외 1,경기 수원시 권선구 평동 ****,28000
343,B0SQ01FBZ8,2020-10-31 19:17:56,울트라콜,3005197,짜장면 외 1,경기 화성시 봉담읍 봉담읍 ****,13000
342,B0SQ01HJRX,2020-10-31 19:31:28,울트라콜,3005197,4. 탕수육+볶음밥+만두,경기 화성시 봉담읍 봉담읍 ****,16000
341,B0SQ01JWXB,2020-10-31 19:54:27,울트라콜,3005197,볶음밥 외 1,경기 수원시 권선구 평동 ****,16000
340,B0SQ01JXPC,2020-10-31 19:55:11,울트라콜,3251512,8번. 양장피+고추잡채+쟁반짜장2인,경기 수원시 권선구 평동 ****,48000
