,no,date,group,campaign_id,order_info,address,payment
60,B0RZ004G0G,2020-10-04 09:27:16,울트라콜,2200620,싱글요리세트,인천 미추홀구 관교동 ****,16000
59,B0RZ00NXFW,2020-10-04 14:27:13,울트라콜,2200619,4셋트(탕수육+짜장+고기짬뽕+콜라),인천 남동구 간석2동 ****,23000
58,B0RZ00O065,2020-10-04 14:30:30,울트라콜,2200622,바 셋트(탕수육+차돌짬뽕1+콜라),인천 남동구 구월1동 ****,21000
57,B0RZ00QV6L,2020-10-04 15:07:55,울트라콜,2200620,라 셋트(탕수육+삼선짬뽕1+콜라),인천 남동구 구월1동 ****,20000
56,B0RZ00TCOI,2020-10-04 15:45:19,울트라콜,2200635,4셋트(탕수육+짜장+고기짬뽕+콜라) 외 1,인천 미추홀구 관교동 ****,29500
55,B0RZ00U4I1,2020-10-04 15:56:30,울트라콜,2200628,옛날고기짬뽕 외 1,인천 남동구 구월1동 ****,10500
54,B0RZ00V0L4,2020-10-04 16:08:01,울트라콜,2200635,옛날고기짬뽕 외 1,인천 남동구 구월3동 ****,10000
53,B0RZ00VY63,2020-10-04 16:20:52,울트라콜,2200628,싱글요리세트 외 1,,23500
52,B0RZ00X7QG,2020-10-04 16:35:41,울트라콜,2200628,2셋트(탕수육+짜장+짬뽕+콜라),인천 남동구 구월2동 ****,20000
51,B0RZ0113RW,2020-10-04 17:11:21,울트라콜,2200631,자 세트(탕수육+고기짬뽕1+콜라) 외 1,인천 남동구 구월2동 ****,27000
50,B0RZ0123ZZ,2020-10-04 17:19:10,울트라콜,2200628,잡채밥 외 2,인천 남동구 구월1동 ****,21500
49,B0RZ014ANW,2020-10-04 17:34:16,울트라콜,2200631,옛날고기짬뽕 외 1,인천 남동구 구월2동 ****,28000
48,B0RZ0142FX,2020-10-04 17:34:18,울트라콜,2200635,삼선짬뽕밥 외 1,인천 미추홀구 관교동 ****,24000
47,B0RZ0180WK,2020-10-04 17:57:39,울트라콜,2200628,싱글요리세트,인천 남동구 구월1동 ****,18000
46,B0RZ01D4GK,2020-10-04 18:31:59,울트라콜,2200621,짬뽕 외 2,인천 미추홀구 주안4동 ****,21000
45,B0RZ01DRFX,2020-10-04 18:34:50,울트라콜,2200625,옛날고기짬뽕밥 외 1,인천 남동구 간석1동 ****,19000
44,B0RZ01D6WL,2020-10-04 18:46:57,울트라콜,2200621,탕수육,인천 미추홀구 주안8동 ****,17000
43,B0RZ01IZ88,2020-10-04 19:10:30,울트라콜,2200622,간짜장,,13000
42,B0RZ01OZLT,2020-10-04 20:10:43,울트라콜,2200635,쟁반짬뽕 외 1,인천 미추홀구 문학동 ****,21500
41,B0S0003N9Z,2020-10-05 09:35:51,울트라콜,2200621,싱글요리세트,인천 남동구 구월3동 ****,16000
40,B0S0003WUQ,2020-10-05 10:07:33,울트라콜,2200620,짜장 외 1,인천 남동구 구월1동 ****,12000
39,B0S0005RDS,2020-10-05 11:12:23,울트라콜,2200620,탕짬면 외 1,인천 남동구 구월1동 ****,11000
38,B0S0006I37,2020-10-05 11:22:14,울트라콜,2200620,탕짬면,인천 미추홀구 관교동 ****,10000
37,B0S0007UKT,2020-10-05 11:42:10,울트라콜,2200635,간짜장,인천 미추홀구 관교동 ****,13000
36,B0S0006OP3,2020-10-05 11:53:57,울트라콜,2200631,차돌짬뽕밥 외 2,인천 남동구 구월2동 ****,41500
35,B0S00096S1,2020-10-05 12:02:56,울트라콜,2200622,탕짜면 외 1,인천 남동구 구월1동 ****,15500
34,B0S0009V7U,2020-10-05 12:10:55,울트라콜,2200620,탕짬면 외 1,인천광역시 남동구 구월1동 ****,18000
33,B0S000AL65,2020-10-05 12:22:51,울트라콜,2200621,가 셋트(탕수육+짜장1+콜라),인천 미추홀구 주안8동 ****,16000
32,B0S000CDX1,2020-10-05 12:50:26,울트라콜,2200617,나 셋트(탕수육+짬뽕1+콜라),인천 남동구 구월1동 ****,17000
31,B0S000EU58,2020-10-05 13:35:58,울트라콜,2200631,냉짬뽕,인천 남동구 구월2동 ****,10000
30,B0S000FO2O,2020-10-05 13:55:55,울트라콜,2200617,삼선간짜장,인천 남동구 구월1동 ****,10000
29,B0S000FR6R,2020-10-05 13:56:14,울트라콜,2200620,옛날고기짬뽕밥 외 1,인천 남동구 간석1동 ****,17000
28,B0S000KGD8,2020-10-05 16:04:13,울트라콜,2200617,차돌짬뽕밥,인천 남동구 구월1동 ****,11000
27,B0S000M1XI,2020-10-05 16:59:26,울트라콜,2200633,냉짬뽕,인천 미추홀구 관교동 ****,10000
26,B0S000NS6B,2020-10-05 17:18:10,울트라콜,2200617,차돌짬뽕,인천 남동구 구월1동 ****,20000
25,B0S000RP5K,2020-10-05 18:05:38,울트라콜,2200619,간짜장 외 1,인천 남동구 간석2동 ****,26500
24,B0S000TJEU,2020-10-05 18:22:49,울트라콜,2200633,제육덮밥 외 1,인천 미추홀구 주안8동 ****,29000
23,B0S000W6RH,2020-10-05 18:46:01,울트라콜,2200631,삼선짬뽕 외 1,인천 남동구 구월2동 ****,21000
22,B0S000ZUM5,2020-10-05 19:20:09,울트라콜,2200620,간짜장 외 1,인천 남동구 구월1동 ****,17500
21,B0S0011OMK,2020-10-05 19:38:04,울트라콜,2200617,오징어덮밥 외 2,인천 남동구 구월1동 ****,20000
20,B0S0011WMO,2020-10-05 19:42:04,울트라콜,2200625,2셋트(탕수육+짜장+짬뽕+콜라),인천 남동구 구월3동 ****,20000
19,B0S10037IP,2020-10-06 09:25:21,울트라콜,2200622,싱글요리세트,인천 남동구 구월1동 ****,16000
18,B0S10047MX,2020-10-06 10:06:39,울트라콜,2200633,짬뽕 외 1,인천 미추홀구 문학동 ****,12000
17,B0S1004QFR,2020-10-06 10:39:02,울트라콜,2200622,냉짬뽕,인천 남동구 구월1동 ****,10000
16,B0S1009CUC,2020-10-06 11:55:21,울트라콜,2200625,탕짜면,인천 남동구 구월3동 ****,10000
15,B0S100AJNW,2020-10-06 12:09:03,울트라콜,2200625,삼선볶음밥 외 1,인천 미추홀구 주안4동 ****,26000
14,B0S100AFLL,2020-10-06 12:09:46,울트라콜,2200633,10셋트(탕수육+삼선짬뽕2+콜라),인천 미추홀구 주안8동 ****,29000
13,B0S100CDUE,2020-10-06 12:37:56,울트라콜,2200621,싱글요리세트,인천 미추홀구 관교동 ****,16000
12,B0S100DBWY,2020-10-06 12:53:53,울트라콜,2200620,짬뽕 외 1,인천 남동구 구월1동 ****,14500
11,B0S100DFRR,2020-10-06 12:55:37,울트라콜,2200620,탕짜면,인천 남동구 구월1동 ****,10000
10,B0S100EPEN,2020-10-06 13:15:37,울트라콜,2200628,차돌짬뽕밥,인천 남동구 구월1동 ****,11000
9,B0S100IFE6,2020-10-06 14:42:39,울트라콜,2200633,환타 외 1,,10000
8,B0S100L7ZP,2020-10-06 15:56:09,울트라콜,2200635,불짜장 외 1,인천 남동구 구월3동 ****,18500
7,B0S100QECZ,2020-10-06 17:37:17,울트라콜,2200622,볶짬면 외 1,인천 남동구 구월1동 ****,28000
6,B0S100R2US,2020-10-06 17:43:48,울트라콜,2200628,제육덮밥 외 1,인천 남동구 구월1동 ****,10500
5,B0S100SIZ3,2020-10-06 18:00:37,울트라콜,2200620,짬뽕 외 1,인천 남동구 구월1동 ****,10500
4,B0S100TVRC,2020-10-06 18:12:25,울트라콜,2200622,삼선고추짬뽕,인천 남동구 구월1동 ****,10000
3,B0S100Y299,2020-10-06 18:46:18,울트라콜,2200633,탕짬면 외 1,인천 남동구 구월3동 ****,10500
2,B0S100YW3K,2020-10-06 18:54:10,울트라콜,2200631,가 셋트(탕수육+짜장1+콜라),인천 남동구 구월2동 ****,16000
1,B0S100ZQ57,2020-10-06 19:02:07,울트라콜,2200621,탕볶밥,인천 미추홀구 주안1동 ****,10500
0,B0S1013KPO,2020-10-06 19:37:23,울트라콜,2200628,짜장,인천 남동구 구월1동 ****,11000
171,B0S4004I7E,2020-10-09 09:37:22,울트라콜,2200635,바 셋트(탕수육+차돌짬뽕1+콜라),인천 남동구 구월1동 ****,22000
170,B0S40173O1,2020-10-09 18:22:22,울트라콜,2200628,차돌짬뽕 외 1,인천 남동구 구월1동 ****,35500
169,B0S4017ATI,2020-10-09 18:22:28,울트라콜,2200628,나 셋트(탕수육+짬뽕1+콜라),인천 남동구 구월1동 ****,17000
168,B0S4017HX8,2020-10-09 18:24:55,울트라콜,2200617,2셋트(탕수육+짜장+짬뽕+콜라),인천 남동구 구월1동 ****,20000
167,B0S4019CAQ,2020-10-09 18:36:09,울트라콜,2200619,1셋트(탕수육+짜장2+콜라),인천 남동구 간석1동 ****,19000
166,B0S401AKYH,2020-10-09 18:44:56,울트라콜,2200617,삼선고추짬뽕,인천 남동구 구월1동 ****,10000
165,B0S401ED6D,2020-10-09 19:13:38,울트라콜,2200635,차돌짬뽕 외 1,인천 남동구 구월3동 ****,11000
164,B0S401FXXP,2020-10-09 19:25:22,울트라콜,2200621,차돌짬뽕밥 외 1,인천 미추홀구 주안8동 ****,25000
163,B0S401GCY0,2020-10-09 19:30:51,울트라콜,2200620,싱글요리세트,인천 남동구 구월4동 ****,15000
162,B0S401GTL4,2020-10-09 19:33:24,울트라콜,2200620,차돌짬뽕,인천 남동구 구월1동 ****,10000
161,B0S401HZUV,2020-10-09 19:43:25,울트라콜,2200631,2셋트(탕수육+짜장+짬뽕+콜라),인천 남동구 구월2동 ****,20000
160,B0S401HSHS,2020-10-09 19:44:54,울트라콜,2200635,차돌짬뽕 외 1,인천 미추홀구 관교동 ****,12000
159,B0S401IN9N,2020-10-09 19:50:44,울트라콜,2200621,탕수육,인천 미추홀구 주안8동 ****,17000
158,B0S401J8PU,2020-10-09 19:57:15,울트라콜,2200617,냉짬뽕,인천 남동구 구월1동 ****,10000
157,B0S50047NG,2020-10-10 09:31:00,울트라콜,2200617,삼선간짜장,인천 남동구 구월1동 ****,10000
156,B0S5004HBI,2020-10-10 09:43:48,울트라콜,2200620,탕짜면 외 1,,10500
155,B0S5004NO7,2020-10-10 10:02:56,울트라콜,2200622,사 셋트(탕수육+쟁반짜장1인+콜라) 외 1,인천 남동구 구월1동 ****,26000
154,B0S50064DQ,2020-10-10 10:53:27,울트라콜,2200621,쟁반짬뽕,인천 미추홀구 주안8동 ****,16000
153,B0S5006AOJ,2020-10-10 10:59:52,울트라콜,2200622,불짬뽕 외 1,인천 남동구 구월4동 ****,12000
152,B0S5006XCG,2020-10-10 11:08:29,울트라콜,2200621,옛날고기짬뽕 외 1,인천 미추홀구 관교동 ****,15500
151,B0S5009UGG,2020-10-10 11:50:29,울트라콜,2200635,사 셋트(탕수육+쟁반짜장1인+콜라),인천 미추홀구 관교동 ****,19000
150,B0S500A8YS,2020-10-10 11:55:21,울트라콜,2200628,차돌짬뽕 외 1,인천 남동구 구월1동 ****,19000
149,B0S500AIUB,2020-10-10 12:01:08,울트라콜,2200625,볶짜면 외 2,,35000
148,B0S500B0RB,2020-10-10 12:04:12,울트라콜,2200620,나 셋트(탕수육+짬뽕1+콜라),인천 남동구 구월1동 ****,17000
147,B0S500AYV2,2020-10-10 12:05:00,울트라콜,2200619,짬뽕 외 1,인천 남동구 간석2동 ****,24500
146,B0S500BGWK,2020-10-10 12:09:28,울트라콜,2200628,매콤탕수육 외 1,인천 남동구 구월1동 ****,30500
145,B0S500BFVR,2020-10-10 12:10:24,울트라콜,2200617,짜장 외 1,인천 남동구 구월1동 ****,13500
144,B0S500BNNR,2020-10-10 12:13:26,울트라콜,2200631,짬뽕밥 외 1,인천 남동구 구월2동 ****,17500
143,B0S500E07Y,2020-10-10 12:42:43,울트라콜,2200631,차돌짬뽕 외 2,인천 남동구 구월2동 ****,54000
142,B0S500FX8U,2020-10-10 13:04:53,울트라콜,2200620,불짬뽕 외 1,인천 남동구 구월1동 ****,14500
141,B0S500GPKX,2020-10-10 13:15:32,울트라콜,2200621,바 셋트(탕수육+차돌짬뽕1+콜라) 외 1,인천 미추홀구 주안8동 ****,28000
140,B0S500HW76,2020-10-10 13:30:43,울트라콜,2200620,삼선볶음밥,인천 남동구 구월1동 ****,10500
