address,payment,compare_payment,profit,profit_p
,358000,316000.0,42000.0,13.291139240506327
경기 수원시 권선구 서둔동 ****,12000,94000.0,-82000.0,-87.2340425531915
경기 수원시 권선구 세류2동 ****,10000,,,
경기 수원시 권선구 평동 ****,2059000,4292000.0,-2233000.0,-52.02702702702703
경기 화성시 매송면 매송면 ****,916000,1272000.0,-356000.0,-27.9874213836478
경기 화성시 봉담읍 봉담읍 ****,473000,1608000.0,-1135000.0,-70.58457711442786
경기도 수원시 권선구 평동 ****,32000,16000.0,16000.0,100.0
